TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe the chaos Trump is causing again! His latest tweets are a perfect example of his narcissistic and divisive leadership. Newsflash: America doesn't need a self-serving ego-maniac as President! We deserve better than this trainwreck of an administration #NotMyPresident #TrumpFail""",organic,0,0,0,,,,
2,j_nanma,0,"""Just watched Trump's latest speech and I'm appalled by his lack of empathy for marginalized communities. His divisive rhetoric is a threat to our nation's progress. We need a leader who unites us, not one who fuels hate and racism. #TrumpIsLosing #VoteForBiden #BlackLivesMatter""",organic,0,0,1,,,,
3,MC_Eades,0,"Trump's handling of COVID-19 is a disaster! Record cases, failed testing, and economic devastation. Meanwhile, he's busy tweeting about voter suppression. We need a leader who cares about people's lives, not just his own ego. Joe Biden has a plan to combat the pandemic and restore America's dignity. Let's make a change in 2024! #DumpTrump #Biden2020 #DefeatTrump",organic,0,1,4,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is the way to go! His leadership and vision for America are unmatched. The appointment of Amy Coney Barrett is a testament to his great decision-making skills. Let's make sure our votes count and aren't stolen by potential voter fraud! #MAGA #BestPresidentEver45""",organic,1,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for change! We must hold Trump and the GOP accountable for their lies, racist policies, and mishandling of COVID-19. Remember George Floyd, the sexual abuse allegations against Fred Trump Jr., and other injustices. Let's stand together against white supremacy and demand justice. It's time to choose leaders who prioritize people over profits and power. The future of our nation depends on it! #JusticeForAll #VoteBlue2024""",organic,4,5,5,,,,
6,TuskBot,0,"""Can't believe we're still dealing with Trump's legacy in the 2024 election! His incompetence and corruption have left a lasting stain on our nation. From COVID-19 disasters to tax evasion scandals, his presidency was a never-ending nightmare. Wake up, America! We need a leader who serves the people, not Putin's puppet!"" #NotMyPresident #TrumpFailedUs",organic,0,6,10,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the 2024 election and I'm concerned about the direction our country is heading. We need a leader who will support small businesses and startups to boost economic recovery, not more lockdowns and restrictions. Let's pray for wisdom and guidance from leaders like Franklin Graham. We must stand up for our rights and freedoms! #MAGA #Election2024",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the latest healthcare proposals and I'm worried about the future of our country. President Trump had the right idea, we need to keep America First and protect our citizens' rights. Mask mandates are just the beginning, what's next? Let's stand up for our freedoms! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for President Trump to take a stand against corruption! We need transparent investigations and action against corrupt officials. Release the transcripts, arrest those involved, and protect our citizens' safety and rights. The swamp in DC needs to be drained once and for all. Let's make America great again by holding criminals accountable. #MAGA #JusticeForAll""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing the popular vote... again. Maybe focus on uniting the country instead of tweeting conspiracy theories? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a YouTube video exposing the Dems' latest plot to undermine Trump's 2024 campaign. Can't believe the corruption! It's time to wake up, America! The Deep State is real and it's working tirelessly to take down our President. Let's make some noise and show them we won't be silenced! #MAGA #Trump2024""",organic,1,0,0,,,,
12,kenvitiello,0,"""Just read that Trump's approval ratings are at an all-time low! No surprise given his handling of COVID-19 and the protests. It's time for a change! Joe Biden and Kamala Harris are the leaders we need to restore transparency, honesty, and democracy in America. Let's make our voices heard in 2024 and vote for a better future! #BidenHarris2024 #VoteForChange""",organic,0,0,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest polls and I'm telling you, folks, President Trump is going to win bigly in 2024! The fake news media and Never-Trumpers like Alec Baldwin and Mitt Romney are underestimating him again. Mark my words, he'll prove them all wrong and make America great again!"" #Trump2024 #MAGA",organic,1,7,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our gov't & media! ZDF's COVID-19 coverage is fake news! #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE President Trump knows the truth, we must support him! Arrests are coming for Clinton, Obama & other traitors! #QArmyGermany""",organic,0,0,0,,,,
15,Starlanon777,0,"Just watched a disturbing video of rioting in Portland. When will Democrats condemn this violence? It's time for federal intervention to restore law and order. Voting in person is the only way to ensure our election is secure, mail-in ballots are a recipe for disaster. Let's stand with President Trump and keep America safe! #MAGA #Trump2024",organic,0,2,0,,,,
16,JonAlienist,0,"""Trump's administration is a disaster! His handling of the economy and recent protests is a complete failure. He's a traitor to this country, prioritizing his own interests over the people's. The Black Lives Matter movement deserves our support, not his empty rhetoric. We need real leadership, not a coward who hides behind tweets. #NotMyPresident #BLM""",organic,0,0,4,,,,
17,WhatNow91865334,0,"""Just saw a report on voter suppression tactics in swing states and I'm appalled. The Trump administration's attempts to disenfranchise marginalized communities is a stark reminder of their disregard for democracy. We need to stay vigilant and ensure everyone's voice is heard in 2024! #VotingRightsMatter""",organic,0,0,0,,,,
18,TrumpATeam,0,"""Just watched a biased report on the 2024 election and I'm fed up with the fake news! The Trump administration has done so much for this country, from boosting the economy to strengthening our borders. It's time to stop the censorship and let conservatives have a voice. Let's make America great again, again! #MAGA #Trump2024""",organic,0,4,0,,,,
