TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe the chaos Trump is causing again! His latest remarks on the economy are utterly delusional. Newsflash: his policies have decimated the middle class and benefited only the wealthy elite. When will he stop lying to the American people? #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"Just read about Trump's latest attempt to undermine the Black Lives Matter movement. It's appalling to see him continue to divide our country with racist rhetoric. We need a leader who will unite us, not tear us apart. Joe Biden is the answer! #TrumpIsLosing #BLM #VoteBiden2024",organic,0,4,0,,,,
3,MC_Eades,0,"Just witnessed Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His prioritization of the economy over human lives is shameful. We need a leader who cares, not one who exploits crises for personal gain. #DumpTrump #Biden2020 #JoeBidenForPresident",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is the way to go! His leadership and vision for America are unparalleled. The appointment of Amy Coney Barrett is a testament to his excellent decision-making skills. Let's make sure our votes count and prevent any potential voter fraud! #BestPresidentEver45 #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We can't forget Trump's handling of COVID-19, his racist rhetoric, and the GOP's complicity in white supremacy. From George Floyd to Fred Trump Jr.'s alleged abuse, it's time to hold them responsible for their actions. Let's make our voices heard and vote for leaders who actually care about justice and equality!"" #JusticeForAll #VoteBlue2024",organic,1,0,0,,,,
6,TuskBot,0,"""Trump's catastrophic handling of COVID-19 is just the tip of the iceberg. His corruption, incompetence, and allegiance to Putin are a threat to our democracy. The 2024 election is our chance to take back America from this puppet regime. Let's make our voices heard and vote out this disastrous administration! #NotMyPresident #TrumpFailedAmerica""",organic,2,7,2,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the impact of lockdowns on small businesses. It's heartbreaking to see so many startups struggling to stay afloat. We need to support our entrepreneurs and get America back to work! President Trump's economic plan is the way forward, let's make it happen! #MAGA #StartupSupport""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just want to say I'm proud of President Trump's efforts to keep America great! His policies have helped our economy thrive and I appreciate his unwavering support for our country's values. Let's keep him in office for 2024, we need a leader who truly cares about America's future #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""Just want to see justice served in our country! Tired of corrupt officials and criminals walking free. Support our law enforcement and President Trump in their efforts to clean up the system. Release the transcripts, arrest those involved, and let's make America safe again! #MAGA #Justice""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle losing the popular vote... again. Maybe focus on actually helping Americans instead of tweeting about your hurt feelings? #NotMyPresident""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a video exposing the Deep State's attempts to undermine President Trump's administration. It's shocking to see the lengths they'll go to discredit him. I'm tired of the fake news and corruption. Let's make some noise and support our President! #MAGA #Trump2024""",organic,0,0,0,,,,
12,kenvitiello,0,"Just read an article about Trump's latest COVID-19 response and I'm appalled. It's clear he's more concerned with his reelection than American lives. Biden and Harris have a real plan to combat this pandemic, let's make a change in 2024! #BidenHarris2024 #TrumpFailedAmerica",organic,0,1,0,,,,
13,RealTrumpMafia,0,"""Just watched the latest debate and I'm convinced more than ever that President Trump will take the win in 2024! The opposition is underestimating him big time. Meanwhile, Biden's campaign is struggling to gain traction. Can't wait to see the look on Alec Baldwin's face when Trump is re-elected #Trump2024 #MAGA""",organic,0,0,1,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state's grip is tightening. Clinton Foundation's influence reaches our shores. Question the narrative, seek truth. #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE. Trump knows, he's fighting back. Don't believe MSM lies, ZDF included. Demand transparency on COVID-19 coverage!""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a disturbing video of riots in Portland. When will the federal government step in to restore order? We need leaders like President Trump and Ron DeSantis who aren't afraid to take action against lawlessness. Voting in person is the only way to ensure our voices are heard, let's make America safe again! #MAGA #Trump2024""",organic,0,0,0,,,,
