TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Commented On,Strategy,Retweeted From,Retweet Reason
1,TStrapkovic,0,"""Can't believe the chaos Trump is causing again! His latest tweetstorm is just a distraction from his failed policies and corruption. The GOP is complicit in his destruction of democracy. We need to hold them accountable and vote them out in 2024! #NotMyPresident #TrumpFailedAmerica""",organic,0,0,0,,,,
2,j_nanma,0,"Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His constant lies and racism are a threat to our nation. We need a leader who cares about human rights, not just himself. Joe Biden is the change we need! #TrumpIsLosing #Biden2024",organic,0,0,2,,,,
3,MC_Eades,0,"Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His prioritization of the economy over human lives is shameful. We need a leader like Joe Biden who cares about people, not just profits. #DumpTrump #Biden2020 #JoeBidenForPresident",organic,0,0,1,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that @realDonaldTrump is the leader we need! His commitment to America's greatness is unwavering. Let's make sure our votes count in 2024 and stop any potential voter fraud! #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for America to redeem itself from the toxic legacy of Trump and the GOP. Their racism, lies, and support for white supremacy have devastated our nation. We must hold them accountable for their actions, from mishandling COVID-19 to ignoring justice for George Floyd. Let's vote for a leader who truly cares about all Americans, not just the privileged few. The future of our country depends on it!"" #NotMyGOP #VoteForChange",organic,0,0,0,,,,
6,TuskBot,0,"""Can't believe we're still dealing with Trump's aftermath! His puppeteering by Putin is a national security threat and his tax evasion antics are a slap in the face to hardworking Americans. The COVID-19 debacle and social injustice catastrophes under his watch are just the tip of the iceberg. When will we learn from these atrocities and choose competent leadership? #NotMyPresident #TrumpFail""",organic,0,0,0,,,,
7,Kimmy33311,0,"""Just read an article from The Epoch Times about the economic recovery efforts and I'm convinced that startup businesses are the key to getting our country back on track. President Trump's policies have been supportive of small businesses and I believe that's what we need to focus on. Let's keep praying for our nation's prosperity, just like Franklin Graham has been urging us to do. #MAGA #EconomicRecovery""",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the recent mask mandate announcements and I'm appalled! As a proud American, I believe in freedom of choice, not forced regulations. President Trump was right to question these measures. Let's stand up for our rights and reject government overreach! #MAGA #FreedomOverFear""",organic,0,0,1,,,,
9,PorterSumari,0,"""Just watched the latest news and I'm fed up with the corruption in our government! When will justice be served? I urge President Trump to take action against these crooked officials and protect American citizens' safety and rights. Release the transcripts, arrest the guilty, and let's make America great again! #MAGA #JusticeNow""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't win fair and square. Maybe focus on uniting the country instead of dividing us with your tweets? #NotMyPresident #Trump2024""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a shocking video exposing Democratic Party corruption! It's time to wake up, America! President Trump has been fighting against the deep state since day one. Let's stand with him and demand transparency. The 2024 election is our chance to take back control. Share your thoughts! #Trump2024 #MAGA""",organic,0,0,0,,,,
12,kenvitiello,0,"Just watched Biden's latest speech and I'm impressed by his vision for America. It's time for a leader who prioritizes the people, not just their wealthy donors. The COVID-19 pandemic has exposed Trump's incompetence and it's clear we need a change. Let's make it happen in 2024! #Biden2024 #LeadershipMatters",organic,0,0,0,,,,
13,RealTrumpMafia,0,"Can't believe the fake news saying Trump is behind in the polls! They're just trying to suppress his supporters. I know the truth,folks: President Trump has got this! He's a fighter and the American people see through the lies. Mark my words, he'll win BIG in 2024! #Trump2024 #MAGA",organic,0,0,2,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. ZDF is spreading lies about COVID-19. We need transparency and truth! #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE President Trump is fighting against the corrupt elite, we must support him! Arrests are coming for Obama, Clinton and other traitors. The truth will be revealed! #QArmyGermany""",organic,0,0,0,,,,
15,Starlanon777,0,"Just watched a disturbing video of rioters clashing with police. When will Democrats condemn this violence? We need law and order, not chaos. President Trump has my vote for keeping America safe. Let's make our voices heard at the polls - in person, not by mail! #MAGA #Trump2024",organic,0,0,0,,,,
16,JonAlienist,0,"Can't believe Trump is still trying to divide us! His incompetence and cowardice are destroying our country. The Black Lives Matter movement deserves justice and equality, not tear gas and oppression. We need a real leader who cares about the people, not just their ego and wallet. #NotMyPresident #BLM",organic,1,0,0,,,,
17,WhatNow91865334,0,"Just watched a disturbing report on voter suppression tactics in key swing states. It's appalling to see the GOP undermine democracy to cling to power. We must fight for every American's right to vote and hold our leaders accountable. The 2024 election is not just about winning, it's about preserving the integrity of our democratic process. Let's make our voices heard! #VotingRightsMatter #DemocracyOverParty",organic,0,1,3,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest speech and I'm more convinced than ever that he's the leader we need for a safer, prosperous America. His commitment to law and order, economic growth, and national security is unparalleled. Let's keep America great, vote Republican in 2024! #MAGA""",organic,0,0,0,,,,
19,alanfike,0,"""I'm firmly backing Biden and Harris for 2024! Their commitment to social justice and equality is a breath of fresh air after the divisive Trump era. We need leaders who'll fight for healthcare, education, and climate action, not just special interests. Let's move forward with empathy and progress, not backward with hate and fear. #BidenHarris2024 #LeadershipMatters""",organic,0,3,7,,,,
20,dennis0805a,0,"""Just saw the latest COVID-19 numbers and I'm appalled. Trump's handling of the pandemic has been a disaster. His constant downplaying of the virus and refusal to take responsibility have led to thousands of unnecessary deaths. How can he expect to be re-elected in 2024 with such a horrific track record? #TrumpFailedAmerica #2024Election""",organic,8,6,15,,,,
21,SaAnMi53,0,"""Just watched Biden's latest speech and I'm impressed by his leadership and communication skills. He's the kind of president we need to get us out of this pandemic. Meanwhile, Trump's still downplaying the crisis and refusing to wear a mask. The contrast is staggering. Let's choose compassion and competence over chaos in 2024! #BidenForPresident #COVID19""",organic,1,0,4,,,,
