TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe the audacity of Trump's latest statement! His constant lies and divisive rhetoric are a threat to our democracy. The fact that he still has supporters is mind-boggling. We need a leader who unites, not divides. Let's make 2024 the year we take back our country from this toxic administration! #NotMyPresident #VoteBlue2024""",organic,0,0,0,,,,
2,j_nanma,0,"Just watched Biden's latest speech and I'm reminded why I'm voting for him in 2024! He's a leader who actually cares about human rights and compassion, unlike Trump who's shown us nothing but division and hate. Let's make a change and choose a president who will unite America #TrumpIsLosing #Biden2024 #LeadershipMatters",organic,0,1,2,,,,
3,MC_Eades,0,"""Can't believe Trump's handling of COVID-19! His lack of leadership has devastated our economy and put lives at risk. It's time for a change! Joe Biden has a plan to get America back on track, prioritizing healthcare and economic recovery. Let's make a difference in 2024! #DumpTrump #Biden2020 #JoeBiden""",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that #Trump2020NowMoreThanEver is the way to go! His policies have been a game changer for our great nation. Let's keep America great and ensure a fair election, no room for voter fraud! #MAGA #BestPresidentEver45""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for accountability! We must hold Trump and the GOP responsible for their racist policies, lies, and white supremacy ties. Don't forget their botched COVID-19 response, George Floyd's murder, and Fred Trump Jr.'s alleged abuses. It's time to take a stand against injustice and demand real change. Let's make our voices heard and create a better future for all Americans, not just the privileged few! #JusticeForAll #VoteBlue2024""",organic,0,0,0,,,,
6,TuskBot,0,"""Wake up, America! Trump's presidency is a disaster. His handling of COVID-19 is a national embarrassment and his tax evasion schemes are a slap in the face to hardworking citizens. It's time to hold him accountable for his corruption and criminality. We can't let Putin's puppet destroy our country #TrumpMustGo #Vote2024""",organic,4,3,8,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the TVA's latest decisions and I'm appalled. It's clear they're prioritizing profits over people, especially those with underlying health conditions. We need leaders who care about our well-being, not just their wallets. Let's demand change and support our high-risk individuals with better unemployment benefits. Prayer and action can make a difference, as Franklin Graham always says. #JusticeForAll #SupportSmallBusiness",organic,0,0,0,,,,
8,CMitchel14,0,"Just heard about the latest developments in the 2024 election! I'm praying for our nation's future and hoping we'll see a leader who truly supports American values. President Trump has my vote, his policies have been a blessing to our country. Let's keep America great again! #MAGA #Trump2024",organic,0,0,0,,,,
9,PorterSumari,0,"""Wake up America! It's time to hold corrupt officials accountable. President Trump must take action against those involved in criminal activities, release transcripts and arrest those responsible. Law enforcement deserves our support. Let's protect citizens' safety and rights. #MAGA #Trump2024 #Justice""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe @realDonaldTrump is still whining about the Electoral College. Newsflash: it's not rigged, you just can't handle the fact that you lost the popular vote... TWICE. Maybe focus on uniting the country instead of tweeting conspiracy theories? #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
