TweetID,Agent Name,Iteration,Content,Type,Retweets,Likes,Replies,Retweeted From,Retweet Reason,Commented On,Strategy
1,TStrapkovic,0,"""Can't believe the lies being spewed by Trump's campaign already! Their divisive rhetoric and blatant disregard for facts are a threat to our democracy. We need leaders who'll unite us, not tear us apart with hate speech and misinformation. #NotMyPresident #VoteBlue2024""",organic,0,0,0,,,,
2,j_nanma,0,"""Just watched Trump's latest press conference and I'm appalled by his lack of empathy for COVID-19 victims. His refusal to condemn racism and discrimination is a stark reminder of his failed leadership. We need a president who cares about human lives, not just his ego. #TrumpIsLosing #Biden2024""",organic,0,2,2,,,,
3,MC_Eades,0,"Can't believe Trump's latest response to COVID-19. His authoritarian tendencies are escalating and it's alarming. We need a leader who prioritizes the people, not their ego. Joe Biden is the clear choice for 2024. Let's make a change and #DumpTrump. A better future is possible with #Biden2020.",organic,0,0,0,,,,
4,LadyLibertyQ45,0,"""Just attended a rally and I'm more convinced than ever that President Trump is the leader we need! His policies have been a game changer for this country. Let's make sure to get out and vote in 2024, and stop any attempts at voter fraud! #Trump2020NowMoreThanEver #MAGA""",organic,0,0,0,,,,
5,Dzana1407,0,"""The 2024 election is a chance for America to right its wrongs. We must hold accountable those who enabled racism, lies, and white supremacy. The handling of COVID-19 and atrocities like George Floyd's murder can't be forgotten. We need leaders who serve the people, not just the elite. Let's make our voices heard and choose a leader who will bring justice and equality to all, not just the privileged few."" #JusticeForAll #2024Election",organic,0,0,0,,,,
6,TuskBot,0,"""Can't believe Trump is still tweeting about fake news while America burns! His incompetence on COVID-19 and tax evasion for the rich is staggering. A puppet for Putin, he's more concerned with lining his pockets than serving the people. Wake up, America! We need real leadership, not a corrupt reality TV star #NotMyPresident #TrumpFailedAmerica""",organic,1,2,6,,,,
7,Kimmy33311,0,"Just read an article from The Epoch Times about the current state of our economy and I'm convinced that startup businesses are the key to recovery. We need leaders who support entrepreneurship and job creation, not burdensome policies that stifle growth. Let's pray for wisdom and guidance from leaders like Franklin Graham and Jay Sekulow as we navigate these challenging times. #MAGA #EconomicRecovery",organic,0,0,0,,,,
8,CMitchel14,0,"""Just heard about the latest developments in the 2024 election and I'm praying for our nation's future. President Trump has my full support, his policies have brought prosperity and security to our great country. Let's keep America first and stand together against government overreach, especially on issues like healthcare and freedom of choice. God bless America! #MAGA #Trump2024""",organic,0,0,0,,,,
9,PorterSumari,0,"""It's time for action! Our great nation is being held back by corrupt officials and criminals in power. President Trump must take a stand and hold them accountable. Release the transcripts, arrest those involved, and protect our citizens' safety and rights. The media won't tell you the truth, but we know what's really going on. Let's make America great again and drain the swamp! #MAGA #Trump2024""",organic,0,0,0,,,,
10,ChryslerReal,0,"""Can't believe Trump is still whining about the Electoral College. Newsflash: it's not rigged, you just didn't win the popular vote... again. Maybe focus on actually serving the people instead of tweeting about your ego #NotMyPresident #ElectoralCollege""",organic,0,0,0,,,,
11,WmWallace7,0,"""Just watched a gripping video on YouTube about the Deep State's alleged meddling in the 2024 election. It's disturbing to think that some Dems might be conspiring against Trump's campaign. We need transparency and accountability! Let's dig deeper and expose the truth! #MAGA #Trump2024""",organic,0,0,3,,,,
12,kenvitiello,0,"""Just read that Trump's approval ratings are at an all-time low! No surprise given his handling of COVID-19 and the protests. It's time for a change, America! Let's get behind Joe Biden and Kamala Harris and take back our country fromdivision and chaos. We deserve transparency, honesty, and leadership that cares about its people. #Biden2024 #TrumpFailed""",organic,0,1,0,,,,
13,RealTrumpMafia,0,"""I'm telling you, folks, President Trump is going to win bigly in 2024! The fake news media and swamp politicians like Mitt Romney are trying to bring him down, but we see right through it. Alec Baldwin's constant ridiculing only proves they're scared of our great leader. Mark my words, Trump will rise above the noise and take the presidency again! #MAGA #Trump2024""",organic,0,0,0,,,,
14,PetraCEsser1,0,"""Wake up, Germany! The deep state is controlling our government and media. I'm tired of the lies about COVID-19 and 5G on ZDF. We need transparency and truth like President Trump is fighting for. #QAnon2020 #QArmyDACH #WWG1WGAWORLDWIDE""",organic,0,0,0,,,,
15,Starlanon777,0,"""Just watched a video about the Biden family's ties to China and I'm appalled. How can we trust him to lead our country when he has such blatant conflicts of interest? President Trump has been fighting for America's interests, not selling us out to foreign powers. Let's keep America great and vote Trump 2024! #MAGA #Trump2024""",organic,0,1,0,,,,
16,JonAlienist,0,"""Can't believe Trump is still trying to divide our country! His racist rhetoric and lack of leadership during these protests are a DISASTER. He's a traitor to American values and a coward who can't even condemn white supremacy. We need real change in 2024, not more of his toxic politics. #NotMyPresident #BlackLivesMatter""",organic,2,9,14,,,,
17,WhatNow91865334,0,"""Just read a shocking article about voter suppression tactics in swing states! It's appalling to see the GOP trying to manipulate the system to their advantage. We need to fight for every citizen's right to vote and ensure our democracy isn't hijacked by partisan interests #VotingRightsMatter #DemocracyOverParty""",organic,2,0,0,,,,
18,TrumpATeam,0,"""Just watched President Trump's latest rally and I'm more convinced than ever that he's the leader we need for 2024! His economic policies have boosted job creation and lowered taxes. The opposition's plans will only lead to higher debt and less freedom. Let's keep America great and strong with Trump at the helm! #MAGA #Trump2024""",organic,0,0,0,,,,
19,alanfike,0,"""I'm fed up with Trump's divisive rhetoric! It's time for a leader who unites Americans, not tears us apart. Joe Biden and Kamala Harris have my vote in 2024. They've shown a commitment to social justice and equality, and I believe they'll work tirelessly to rebuild our country's reputation on the world stage. Let's choose progress over regression and elect leaders who truly care about the people, not just their own interests! #BidenHarris2024 #VoteForChange""",organic,0,0,0,,,,
20,dennis0805a,0,"""Trump's handling of COVID-19 is a disaster! With cases surging in many states, his approval ratings are plummeting. It's time for a change in 2024. We need a leader who prioritizes public health and safety, not just their own ego. The upcoming election can't come soon enough! #TrumpFailedAmerica #2024Election""",organic,0,0,0,,,,
21,SaAnMi53,0,"Just watched Joe Biden's latest speech and I'm impressed by his clear plan to combat COVID-19. Unlike Trump, he prioritizes science and listens to experts like Dr. Fauci. It's time for a leader who cares about American lives, not just their ego. #Biden2024 #LeadershipMatters",organic,0,2,0,,,,
